predictor,source,version,candidate_class,process,mechanism,unit,retrieval,remote_name,summary,availability,notes,validation_process
bio1,CHELSA-bioclim,2.1,core_climate,temperature,annual_mean_temperature,C,annual_bio_cog,bio1,,current,mean annual near-surface air temperature,temperature
bio10,CHELSA-bioclim,2.1,core_climate,temperature,warmest_quarter_temperature,C,annual_bio_cog,bio10,,current,temperature during warmest quarter,temperature
bio11,CHELSA-bioclim,2.1,core_climate,temperature,coldest_quarter_temperature,C,annual_bio_cog,bio11,,current,temperature during coldest quarter,temperature
gst,CHELSA-bioclim,2.1,extended_climate,temperature,growing_season_temperature,C,annual_bio_cog,gst,,current,mean temperature during growing season,temperature
bio12,CHELSA-bioclim,2.1,core_climate,water,annual_precipitation,kg_m-2_yr-1,annual_bio_cog,bio12,,current,annual precipitation amount,water
bio17,CHELSA-bioclim,2.1,core_climate,drought,driest_quarter_precipitation,kg_m-2_month-1,annual_bio_cog,bio17,,current,dry-season water supply,water
gsp,CHELSA-bioclim,2.1,extended_climate,water,growing_season_precipitation,kg_m-2_gsl-1,annual_bio_cog,gsp,,current,precipitation accumulated during growing season,water
cmi,CHELSA-BIOCLIM+-archive,2.1,extended_climate,water_balance,climate_moisture_index,kg_m-2_month-1,annual_bio_summary_cog,cmi,mean,current,1981-2010 mean climate moisture index,water
bio4,CHELSA-bioclim,2.1,core_climate,seasonality,temperature_seasonality,index,annual_bio_cog,bio4,,current,temperature seasonality,neutral
bio15,CHELSA-bioclim,2.1,core_climate,seasonality,precipitation_seasonality,index,annual_bio_cog,bio15,,current,precipitation seasonality,neutral
