family,seed,target_process,target_block,context_status
asymmetric,15003,water,0,context_contributory
asymmetric,15003,water,1,context_replaceable
asymmetric,15003,water,2,context_unresolved
asymmetric,15003,water,3,context_contributory
asymmetric,15003,water,4,context_replaceable
asymmetric,15003,water,5,context_contributory
asymmetric,15003,water,6,context_replaceable
asymmetric,15003,water,7,context_contributory
gaussian,15001,water,0,context_contributory
gaussian,15001,water,1,context_replaceable
gaussian,15001,water,2,context_contributory
gaussian,15001,water,3,context_contributory
gaussian,15001,water,4,context_contributory
gaussian,15001,water,5,context_replaceable
gaussian,15001,water,6,context_contributory
gaussian,15001,water,7,context_replaceable
gaussian,15004,temperature,0,context_contributory
gaussian,15004,temperature,1,context_contributory
gaussian,15004,temperature,2,context_contributory
gaussian,15004,temperature,3,context_contributory
gaussian,15004,temperature,4,context_contributory
gaussian,15004,temperature,5,context_contributory
gaussian,15004,temperature,6,context_unresolved
gaussian,15004,temperature,7,context_contributory
interaction,15008,water,0,context_contributory
interaction,15008,water,1,context_contributory
interaction,15008,water,2,context_contributory
interaction,15008,water,3,context_contributory
interaction,15008,water,4,context_replaceable
interaction,15008,water,5,context_replaceable
interaction,15008,water,6,context_unresolved
interaction,15008,water,7,context_contributory
observation_confounded,15004,temperature,0,context_replaceable
observation_confounded,15004,temperature,1,context_contributory
observation_confounded,15004,temperature,2,context_contributory
observation_confounded,15004,temperature,3,insufficient
observation_confounded,15004,temperature,4,context_unresolved
observation_confounded,15004,temperature,5,context_contributory
observation_confounded,15004,temperature,6,context_unresolved
observation_confounded,15004,temperature,7,context_contributory
observation_confounded,15005,water,0,context_unresolved
observation_confounded,15005,water,1,context_replaceable
observation_confounded,15005,water,2,context_unresolved
observation_confounded,15005,water,3,context_contributory
observation_confounded,15005,water,4,context_unresolved
observation_confounded,15005,water,5,context_unresolved
observation_confounded,15005,water,6,context_unresolved
observation_confounded,15005,water,7,insufficient
soft_threshold,15002,water,0,context_replaceable
soft_threshold,15002,water,1,context_contributory
soft_threshold,15002,water,2,context_replaceable
soft_threshold,15002,water,3,context_unresolved
soft_threshold,15002,water,4,context_contributory
soft_threshold,15002,water,5,context_unresolved
soft_threshold,15002,water,6,context_unresolved
soft_threshold,15002,water,7,context_contributory
soft_threshold,15007,water,0,context_contributory
soft_threshold,15007,water,1,context_replaceable
soft_threshold,15007,water,2,context_unresolved
soft_threshold,15007,water,3,context_unresolved
soft_threshold,15007,water,4,context_contributory
soft_threshold,15007,water,5,context_contributory
soft_threshold,15007,water,6,context_contributory
soft_threshold,15007,water,7,context_contributory
soft_threshold,15009,water,0,insufficient
soft_threshold,15009,water,1,context_contributory
soft_threshold,15009,water,2,context_contributory
soft_threshold,15009,water,3,context_contributory
soft_threshold,15009,water,4,context_replaceable
soft_threshold,15009,water,5,context_contributory
soft_threshold,15009,water,6,context_contributory
soft_threshold,15009,water,7,context_unresolved
